Title,Certificate,Director,Oscars,Minutes,Released
Evan Almighty,PG,Tom Shadyac,0,95,2007
Transformers,12A,Michael Bay,0,144,2007
Harry Potter and the Order of the Phoenix,12A,David Yates,0,138,2007
Beowulf,12A,Robert Zemeckis,0,113,2007
Bee Movie,U,Steve Hickner,0,90,2007
Pirates of the Caribbean: At World's End,12A,Gore Verbinski,0,168,2007
I am Legend,15,Francis Lawrence,0,101,2007
Ratatouille,U,Brad Bird,1,106,2007
Spider-Man 3,12A,Sam Raimi,0,139,2007
The Bourne Ultimatum,12A,Paul Greengrass,3,115,2007